"gene.name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test.result"
"TNFRSF1B",542.8254528,-3.406411299,0.226723516,-15.02451693,5.07e-51,3.25e-48,"*****"
"CD74",2666.667467,-3.133593206,0.214690018,-14.59589612,2.98e-48,1.54e-45,"*****"
"SLAMF7",796.0848351,-5.924169549,0.410737166,-14.4232615,3.69e-47,1.85e-44,"*****"
"ANLN",86.61972169,-4.292671907,0.359031339,-11.95625962,6.02e-33,1.02e-30,"*****"
"E2F2",56.39916335,-5.011194075,0.422320272,-11.86586202,1.78e-32,2.95e-30,"*****"
"SLC25A5",839.5868238,-1.63052158,0.154937801,-10.52371705,6.72e-26,6.58e-24,"*****"
"HMGB3",84.36924686,-4.387288475,0.420063715,-10.44434052,1.56e-25,1.45e-23,"*****"
"CD38",651.9259257,-2.934379019,0.285040941,-10.29458789,7.45e-25,6.55e-23,"*****"
"ELOVL5",602.364943,-1.761168628,0.179297766,-9.822591047,9e-23,6.5e-21,"*****"
"AGK",460.5217841,-1.665746575,0.174606258,-9.540016485,1.43e-21,9.33e-20,"*****"
"PLEKHB1",242.6685211,2.600044655,0.282981718,9.188030486,4e-20,2.31e-18,"*****"
"GRAMD1B",241.648939,-2.766063772,0.310258596,-8.915349346,4.86e-19,2.54e-17,"*****"
"CEP68",755.1363231,1.630271351,0.185344232,8.795910881,1.42e-18,7.08e-17,"*****"
"FGR",122.79253,-5.609368054,0.637832442,-8.794422612,1.44e-18,7.15e-17,"*****"
"SYPL1",242.0730394,1.90427835,0.22444951,8.484217018,2.17e-17,9.76e-16,"*****"
"BRCA1",130.7773132,-2.488734776,0.29770802,-8.359649758,6.29e-17,2.71e-15,"*****"
"CD99",643.5209068,-2.255638839,0.276094889,-8.169795701,3.09e-16,1.25e-14,"*****"
"FAS",126.6985672,-2.671660483,0.358907091,-7.443877677,9.78e-14,2.99e-12,"*****"
"ITGAL",5239.439054,-1.476681961,0.202054547,-7.30833325,2.7e-13,7.89e-12,"*****"
"RUNX3",2330.626524,-1.130082951,0.163397598,-6.916153999,4.64e-12,1.16e-10,"*****"
"GDE1",303.4770659,-1.464159639,0.214549545,-6.824342775,8.83e-12,2.12e-10,"*****"
"TSPOAP1",200.885081,-2.40115763,0.352915,-6.803784559,1.02e-11,2.42e-10,"*****"
"GAS7",96.00220049,-2.853109597,0.420225682,-6.789469854,1.13e-11,2.66e-10,"*****"
"BIRC3",1441.064392,1.646714098,0.245841547,6.698274218,2.11e-11,4.81e-10,"*****"
"PSMC4",100.8579873,-1.608907705,0.245218845,-6.561109538,5.34e-11,1.15e-09,"*****"
"MAP4K3",194.462034,1.169510428,0.179004588,6.533410352,6.43e-11,1.37e-09,"*****"
"GGCT",69.29698737,-1.906474344,0.291905454,-6.531136429,6.53e-11,1.39e-09,"*****"
"BAK1",120.1631076,-1.711033107,0.26240508,-6.52057921,7e-11,1.48e-09,"*****"
"ST3GAL1",1865.606178,1.115159457,0.17793141,6.267355803,3.67e-10,6.99e-09,"*****"
"FYN",2330.740984,-0.982413964,0.15797931,-6.218624232,5.02e-10,9.27e-09,"*****"
"AGPAT4",193.3407914,-1.674979878,0.274018011,-6.112663439,9.8e-10,1.72e-08,"*****"
"LASP1",1961.076928,-1.336887734,0.223679671,-5.976795866,2.28e-09,3.76e-08,"*****"
"DEPDC1",15.06146049,-3.509150844,0.59328459,-5.914785084,3.32e-09,5.36e-08,"*****"
"M6PR",963.2804926,-1.167283879,0.199966298,-5.837403046,5.3e-09,8.27e-08,"*****"
"CFLAR",3988.392141,-0.848370679,0.14534576,-5.836913862,5.32e-09,8.29e-08,"*****"
"ARNTL2",74.62124402,-2.765671996,0.481464866,-5.744286225,9.23e-09,1.38e-07,"*****"
"C1orf112",199.0119864,-1.620120054,0.283312075,-5.718499831,1.07e-08,1.59e-07,"*****"
"ST7",49.79872881,-1.884246146,0.332339073,-5.669649757,1.43e-08,2.08e-07,"*****"
"RANBP9",1006.321736,-0.967317153,0.172010953,-5.623578837,1.87e-08,2.67e-07,"*****"
"IL32",1631.969979,-1.636060643,0.291284574,-5.616708854,1.95e-08,2.77e-07,"*****"
"LUC7L",1229.725185,0.929194629,0.165871959,5.601878902,2.12e-08,3e-07,"*****"
"RGPD5",614.5460626,1.657906903,0.296106171,5.599028545,2.16e-08,3.05e-07,"*****"
"PSMB1",381.1898938,-0.982902927,0.176240671,-5.577049392,2.45e-08,3.44e-07,"*****"
"SNAPC1",155.2121174,1.145054577,0.205890684,5.561468607,2.68e-08,3.74e-07,"*****"
"STARD3NL",162.9596208,-1.247138897,0.224643394,-5.551638424,2.83e-08,3.94e-07,"*****"
"MRC2",27.61193008,3.031235234,0.548438262,5.52703092,3.26e-08,4.5e-07,"*****"
"RECQL",586.8876703,-1.366524732,0.247574945,-5.519640648,3.4e-08,4.67e-07,"*****"
"RRAGD",45.64599069,1.965063822,0.357580704,5.495441441,3.9e-08,5.31e-07,"*****"
"TENM1",646.2539857,-1.824385405,0.333220434,-5.475010587,4.37e-08,5.92e-07,"*****"
"MSL3",1088.575004,0.927306435,0.172957888,5.361457915,8.26e-08,1.07e-06,"*****"
"UBR7",108.2317816,-1.324420169,0.249627434,-5.305587413,1.12e-07,1.42e-06,"*****"
